File Name,Model,C1,k1,k2,alpha
"PigHeartWallRight08_4.csv","HGO-CF","-2.0370945967322123,4.093638876023482,0.1081097507138616,0.9707724837826758","","",""
"PigHeartWallRight07_4.csv","HGO-CF","1.9451896226295786,0.48640932807554627,2.5076498843475856,0.8964369791670004","","",""
"PigHeartWallRight06_4.csv","HGO-CF","-3.397890305682723,7.487529652143725,-0.18367189866213499,0.8866505431214294","","",""
"PigHeartWallRight05_4.csv","HGO-CF","-2.3626035095749636,3.926466460090304,0.6387374433674802,10.144409896856363","","",""
"PigHeartWallRight04_4.csv","HGO-CF","0.7278788485260509,1.4630362752821076,1.2427001847905221,2.328715893299331","","",""
