File Name,Model,C1,k1,k2,alpha
"SheepSclera_08_truncated.csv","HGO-CF","-0.04128456923600887,0.10054920279688638,12.43795259146891,0.5983187112188961","","",""
"SheepSclera_001.csv","HGO-CF","0.5219821778803173,-0.479206835127996,-10.8549669416847,0.6880746363531919","","",""
"SheepSclera_002.csv","HGO-CF","-1.0317288750274733,1.2788984511389339,-2.4275482243867277,0.7690718834945517","","",""
"SheepSclera003.csv","HGO-CF","-0.1827107360566604,0.22267704907478167,1.2862886791682444,0.7646635727649046","","",""
"SheepSclera004.csv","HGO-CF","-0.40893853692273324,0.47686293987939166,-1.9780216013283742,0.7453820992696375","","",""
